</s>,0
in,1
for,2
that,3
is,4
on,5
##,6
The,7
with,8
said,9
was,10
the,11
at,12
not,13
as,14
it,15
be,16
from,17
by,18
are,19
I,20
have,21
he,22
will,23
has,24
####,25
his,26
an,27
this,28
or,29
their,30
who,31
they,32
but,33
$,34
had,35
year,36
were,37
we,38
more,39
###,40
up,41
been,42
you,43
its,44
one,45
about,46
would,47
which,48
out,49
can,50
It,51
all,52
also,53
two,54
after,55
first,56
He,57
do,58
time,59
than,60
when,61
We,62
over,63
last,64
new,65
other,66
her,67
people,68
into,69
In,70
our,71
there,72
A,73
she,74
could,75
just,76
years,77
some,78
U.S.,79
three,80
million,81
them,82
what,83
But,84
so,85
no,86
like,87
if,88
only,89
percent,90
get,91
did,92
him,93
game,94
back,95
because,96
now,97
#.#,98
before,99
company,100
any,101
team,102
against,103
off,104
This,105
most,106
made,107
through,108
make,109
second,110
state,111
well,112
day,113
season,114
says,115
week,116
where,117
while,118
down,119
being,120
government,121
your,122
#-#,123
home,124
going,125
my,126
good,127
They,128
're,129
should,130
many,131
way,132
those,133
four,134
during,135
such,136
may,137
very,138
how,139
since,140
work,141
take,142
including,143
high,144
then,145
%,146
next,147
#,###,148
By,149
much,150
still,151
go,152
think,153
old,154
even,155
#.##,156
world,157
see,158
say,159
business,160
five,161
told,162
under,163
us,164
1,165
these,166
If,167
right,168
And,169
me,170
between,171
play,172
help,173
##,###,174
market,175
That,176
know,177
end,178
AP,179
long,180
information,181
points,182
does,183
both,184
There,185
part,186
around,187
police,188
want,189
've,190
based,191
For,192
got,193
third,194
school,195
left,196
another,197
country,198
need,199
2,200
best,201
win,202
quarter,203
use,204
today,205
##.#,206
same,207
public,208
run,209
Friday,210
set,211
month,212
top,213
billion,214
Tuesday,215
come,216
Monday,217
She,218
city,219
place,220
night,221
six,222
each,223
Thursday,224
###,###,225
Wednesday,226
here,227
You,228
group,229
really,230
found,231
As,232
used,233
3,234
lot,235
'm,236
money,237
put,238
games,239
support,240
program,241
half,242
report,243
family,244
months,245
number,246
officials,247
am,248
former,249
own,250
man,251
Saturday,252
too,253
better,254
days,255
came,256
lead,257
life,258
American,259
##-##,260
show,261
past,262
took,263
added,264
expected,265
called,266
great,267
State,268
services,269
children,270
hit,271
area,272
system,273
every,274
pm,275
